CleanTweets,label
administrator tanggal tidak gerak hubung layan langgan nomor respons mau hubung lagi ya baru,negatif
administrator tidak kembang sih paket,negatif
administrator tolong banget baca pesan langsung tidak ganti saja si lama,negatif
administrator tolong begitu paket antar nama antar saja macet saja nomor resi,negatif
administrator tolong cek paket nomor resi kirim tanggal mei sampai hari belum sampai jakarta tangerang jne hubung sibuk terima kasih,negatif
administrator tolong cek pesan langsung barang sesat jauh ya allah,negatif
administrator tolong cek pesan langsung paket macet status tunggu berangkat operator transportasi sudah lewat estimasi,negatif
administrator tolong cek terang jual tidak terima kasih,negatif
administrator tolong lama banget kirim beli sudah marah marah tolong administrator cepat antar status ons,negatif
administrator tolong nomor resi balik lagi kurir alasanya tidak temu alamat kurir begitu tidak niat kemarin lancar saja sampai lagi mohon lacak kembali terima kasih kasih,negatif
administrator tolong periksa paket resi belum kirim kirim,negatif
administrator tolong resi lambat banget proses,negatif
administrator tolong resi nomor sudah hari belum sampai sampai sudah pesan langsung tidak respons,negatif
administrator tolong resi oktober jakarta selatan tempat sortir lama banget estimasi terima tanggal oktober,negatif
administrator tolong respons pesan langsung paket tidak gerak gerak tanggal,negatif
administrator tolong tindak lanjut paket resi belum jalan tanggal astaga,negatif
administrator tumben sicepat lama sekali hari sudah sampai hari jalan tolong administrator cek lagi nomor resi,negatif
administrator whatsapp respons lambat pesan langsung instagram respons lambat paket mana sudah lambat paket sudah bawa kurir kemarin tidak sampai sampai lokasi kecewa,negatif
administrator ya kurir sicepat beli paket lancar saja kirim nya sudah hari paket belum kirim alamat bawa kurir pertama tukar buruk,negatif
administrator ya tanggal jakarta,negatif
aduh administrator kemarin belum ditindaklanjuti sudah bilang awal twit paket ambil antar mana kirim,negatif
aduh anteraja amanah tidak sih macet jambi kemarin lagi surabaya takut sekali loh,negatif
aduh anteraja buruk pilih layan lanjut baru ambil hari,negatif
aduh benar benar kapok banget,negatif
aduh bisa bisa sicepat salah nomor resi barang kirim orang salah jelas taruh nama terima nomor resi paket tidak cek nama terima nya beda sekali astaga,negatif
aduh jne kecewa banget layan langgan jawab paket sudah lebih estimasi tidak gerak habis pulsa buat tanya sampai malam paket tidak gerak pakai,negatif
aduh kurir gosend marah rumah masuk gang tengah jam putar cari baru telepon tidak awal susah telepon sudah sudah terang terlalu lengkap memang susah lain telepon,negatif
aduh mah nama hari begitu hari sesal pakai lebih baik pakai,negatif
aduh sabar bang anteraja memang buruk sih jakarta lampung masak hari saja belum sampai sudah sampai jne lagi aduh mau banget tokopedia kerja anteraja,negatif
aduh sudah bantu ya tempat kirim sudah bulan suruh tunggu melulu tidak kembang gila ya pikir mau terus tunggu jelas,negatif
aduh takut lama sampai sesal pilih sicepat,negatif
ah bodoh bodoh sila hengkang indonesia bawa yaman tidak butuh orang yaman,negatif
ah bosan total sekali sudah tunggu paket sudah sampai tidur eh abang tidak tahu alamat tidak antar anjing shopee express jelek sekali jnt bal saja tidak tanya tahu sampai lebih dulu surabaya lama sekali,negatif
ah elah jne alamat sudah lengkap eh status bilang alamat kirim kurang lengkap,negatif
ah sial coba mana orang nya tidak tukar tidak warna nya tidak jelek pilih barang beli warna nya banget astaga mau pakai mana coba jne bego sekali tidak teliti kesal,negatif
ah sial sekali jne sampai paket hilang awas saja,negatif
ah sudah beli barang pakai gosend gara gara simpan saja barang bang,negatif
ah terima kasih banget ya tidak tahu bisa ganti jnt express melulu kurir ribut sekali,negatif
akhir barang sudah terima minggu macet hubung cimahi mohon depan bisa baik lagi sistem terima kasih peduli,negatif
akhir baru barang tanggal tanggal barang mana sudah sampai akhirat ya administrator,negatif
akhir belanja shopee pilih jasa kirim jnt express lambat sekali ya pakai jasa kirim lain kirim hari kota sampai lebih dulu pakai jasa kirim lain jnt express lama kali sampai,negatif
akhir pakai tidak aman jne si saja,negatif
akhir saja pakai tidak lagi deh jelek sekali paket tidak jalan,negatif
akhir tahun kena tipu bayar tempat sepupu pakai alamat rumah buat belanja daring sudah bayar tempat pas abang jne bawa paket ya inisiatif dulu tidak pesan barang pas cek kaos oblong ribu an ribu,negatif
alah cepat tidak gerak gerak mana penting lagi,negatif
alah kurir antar resi main lempar saja paket ketuk tidak misi tidak panggil tidak sudah tahu cair tidak boleh lempar rawan pecah bocor kasih sanksi,negatif
alam bobol pakai kotak luar hancur banyak tambal selotip tidak rapi waktu kondisi kotak nya basah antar pas lagi hujan untung aman barang pesan sesuai tidak lapor,negatif
alam buruk agen paket hilang tidak tahu mana detail situs tulis paket terima sangkut sangkut tidak terima cari kantor paket tidak terima,negatif
alam buruk ninja express tidak mau lagi ah kurir tengik kali wajik bandung sudah tahun,negatif
alam buruk pakai anteraja paket sudah masuk wilayah terima sudah hari tidak antar komplain baru antar kurir gara daerah langgan,negatif
alam hubung whatsapp tidak jawab,negatif
alami tidak kirim sicepat lambat sekali akhir sampai tanggal panjang ken harga sudah murah sekali diskon belum sampai hari curiga sekali sudah benar kirim jakarta selatan tahu,negatif
alami tidak sudah sesak banget pakai jne express biar cepat eh tidak antar sudah sampai kota pas sampai poster tidak telepon kali akhir antar basah kurir tahu kondisi barang,negatif
alas paket tidak antar begitu si tidak mau pakai sicepat,negatif
alas skeptis pesan barang jual nya sok banget pakai gosend grabexpress opsi ekspedisi lain jauh lebih aman,negatif
allah jne lama sekali tidak suka pakai ekspedisi sudah tanya pesan langsung jne proses berangkat sampai lama sekali,negatif
allah jne mau ya sudah sial pakai jne pakai jasa jne betul murah harga lagi tidak mau pakai jasa jne lagi,negatif
allah lelah sekali anteraja tidak lagi lewat,negatif
allah sicepat paket tidak jalan pakai jnt lancar,negatif
allah sudah emosi banget layan jne,negatif
allah tidak pakai sicepat lagi buat kirim paket trauma,negatif
allah ulah sekali paket sudah hari tidak gerak marah besar,negatif
ambil paket shopee tidak ambil sudah lewat,negatif
ambil sicepat masalah banget ya lambat sudah hari respons tidak jelas sampai sudah telepon suruh tunggu doang tidak jelas sampai detik bilang nya kurir mau hubung tidak informasi ya,negatif
ambil sicepat tidak tahu ambil tolong ya sudah bayar loh,negatif
amburadul selamat tinggal selamat tinggal,negatif
amin kak terima kasih sampai belum jelas pegawai tangan tuli,negatif
ampun sudah jnt yogyakarta saja paket kemarin tidak sampai eh bandung pakai sicepat malam kirim besok sudah kurir datang,negatif
ampun sudah tidak habis pikir duta merek bagus syarat karyawan comot saja karyawannya tidak sekali ingat anggap remeh komplain kerja,negatif
amuk amuk jne tidak solusional,negatif
aneh saja bulan kirim bebas ongkos kirim peduli pakai masalah lama sekali akun jual fitur plus kirim jam lagi uji coba hai,negatif
aneh sicepat ganti nama saja deh,negatif
aneh sicepat tempat pindah pindah waktu jam gila,negatif
anjing barang hilang kawan lewat jne,negatif
anjing kesal sekali jne tahi,negatif
anjing pakai sicepat halu lama ya,negatif
anjing tidak suka ekspedisi sicepat nama doang sicepat datang lama sekali,negatif
antar jne parah banget tidak gratis ongkos kirim,negatif
antar macet tanggal estimasi datang hari,negatif
antar saja memang tidak cerdas ya pesan paket hari alamat paket lagi belum kirim tanggal sampai layan langgan jawab tindak lanjut sampai bosan jawab sial,negatif
anteraja aneh anjing orang tidak kurir paket retur,negatif
anteraja aneh sih kakak paket ku batal omong omong jual bilang nya jual batal rumah buat ambil barang saja tidak kirim manual pakai kurir lain,negatif
anteraja anjing ganti saja orang mah,negatif
anteraja antar nya sesuai suasana hati sudah babi,negatif
anteraja apa lambat banget tidak lagi lagi pakai anteraja,negatif
anteraja bangkrut sudah paket sudah hari macet situ melulu,negatif
anteraja beda provinsi sekali ya allah,negatif
anteraja benar lama banget buset sampai stres tunggu paket doang,negatif
anteraja buruk jasa antar gila kali lama banget tahan tempat tidak jelas astaga,negatif
anteraja cepat bangkrut sampah sekali usaha sih,negatif
anteraja ekspedisi sumpah kesal sekali tidak respons sudah kali loh paket masalah pakai ekspedisi tidak jelas respons cepat ajar tanggung jawab apa apa kesal sekali sumpah,negatif
anteraja ganggu melulu sudah mau antar status masalah operasional melulu sudah,negatif
anteraja gebuk sudah kamis loh,negatif
anteraja kacau banget paket belum sampai sampai tanggal jakarta timur,negatif
anteraja kesal sekali,negatif
anteraja lagi masalah ya resi nya lama pas keluar,negatif
anteraja lama astaga sudah hari jujur marah,negatif
anteraja lama banget anjing,negatif
anteraja lama banget bangsat,negatif
anteraja lama banget macet gudang transit jakarta barat mana barang penting lagi,negatif
anteraja lama banget macet situ situ melulu,negatif
anteraja lama paket suka sangkut sudah begitu ya antar paket sampai jam malam mana suka panggil misi,negatif
anteraja lama sekali ambil nya mau tugas,negatif
anteraja lama sekali layan buruk,negatif
anteraja lambat sekali,negatif
anteraja lambat sekali tidak sabar,negatif
anteraja memang ampas,negatif
anteraja memang kurang banget layan terang paket sudah kirim kurir jam pagi pas cek drop jam sore,negatif
anteraja memang lama anjing paket macet hari jakarta utara,negatif
anteraja memang lama sih sesal pakai,negatif
anteraja memang lama ya hari macet bandung,negatif
anteraja memang sebal lambat sekali selamat tinggal ekspedisi,negatif
anteraja moga tidak sudah pusing banget sumpah pagi sudah bau minyak angin,negatif
anteraja populer populer jelek lihat saja status paket astaga sekali,negatif
anteraja rusak paket belum muncul resi sampai paket paket sudah muncul resi sistem kurir sudah kirim masalah shopee tidak ubah sekali pusing pusing,negatif
anteraja shopee express tidak mau lagi pakai ekspedisi lebih baik pakai jnt,negatif
anteraja sih paket belum datang sampai mana hari lagi,negatif
anteraja tempat lama banget paket sudah sampai hari belum antar rumah kira drop nya jauh dekat banget tidak sampai menit jalan kaki rumah jarang keluar rumah omong omong baru tahu bangkai,negatif
anteraja tidak jalan ya kirim paket,negatif
anteraja tidak jelas anjing sudah hari sampai tidak antar bangsat,negatif
anteraja tidak jelas banget paket sampai rumah orang,negatif
anteraja tidak lambat lagi kurir suka geletak paket lantai teras tidak meja tinggal kompleks rumah tidak pagar bilang datang tidak cek tokopedia tidak tahu paket sudah sampai,negatif
anteraja tidak niat antar paket lama,negatif
anteraja tokopedia lambat sekali tumben oranye lancar saja,negatif
anteraja tolong kerja sama lelah sekali,negatif
aplikasi shopee nya tolong keluar baru ya kakak layan langgan tidak mau aku sistem nya rusak,negatif
asa sesat belum rusak sering,negatif
asli deh tidak sicepat barang sudah minggu lebih mana gawat kesal banget mau komplain layan langgan nya tidak bisa bantu banyak,negatif
asli deh tidak usah pakai jne lagi kesal,negatif
asli jne nya jepang ribet,negatif
asli lambat sekali heran,negatif
asli memang sicepat lambat banget nama doang sicepat ku jakarta jawa asa lama banget,negatif
asli sebal sekali lupa ganti ekspedisi paksa pakai anteraja sudah senang sekali putar,negatif
asli sebal sekali sicepat semangat bun titip amarah ya mah gebrak langsung,negatif
asli sesal banget pakai promo gratis ongkos kirim tokopedia jasa kirim jelek lebih baik bayar ribu buat ongkos kirim,negatif
asli sesal lupa ganti sih pakai sicepat jne sudah jamin cepat kirim tidak pakai acara macet jnt mana masalah jelas banyak langgan akhir rugi lambat kirim,negatif
asli sesal sekali pakai sicepat tahu pakai jnt saja pasti sudah sampai kemarin deh pakai ya bingung sekali mau hubung mana,negatif
asli sih memang lama banget kirim lewat jne,negatif
asli sih pakai anteraja kota lama sekali,negatif
asli ya buat kesal banget jasa kirim lagi embel sicepat halu buat halu benar,negatif
asli zaman loh sicepat masalah,negatif
astaga baru pertama kali kirim paket hilang tidak sudah kurir ninja express,negatif
astaga jne lama sekali anjing,negatif
astaga jne ulah lagi,negatif
astaga kesal,negatif
astaga pilih buat kirim biar cepat sampai hilang paket mana sudah tunggu hari baru,negatif
astaga sudah sudah lengkap nomor resi detail masalah sampai video buka kemas baca tidak sih balas pakai bot,negatif
astaga tolong paket belum sampai sampai tulis ons melulu,negatif
ayo bisa respons cepat,negatif
ayo mau daftar hitam lagi jnt jne anteraja lama lama tidak percaya asli antar seram,negatif
ayo pesan tas tidak sampai enak jne bilang hilang ku teror sampai ganti lama sekali proses tidak memang masalah sampai tidak mau beli barang ekspedisi nya,negatif
ayo segera ayo langgan sudah tunggu minggu loh belum baru lagi status kirim akhir lagi cepat sekali tembak status antar menit main tembak status saja,negatif
baca mau pakai layan anteraja,negatif
baca sesal kemarin periksa pesan pakai jne sih,negatif
baik baik saja pakai jne sial saja kali tertawa besok tidak mau sudah,negatif
baik heran saja tidak mau sekali ketok sampai pintu buka taruh teras orang rumah tidak cek hujan hilang,negatif
baik kakak cepat ya kakak tanggal loh sudah tanggal minggu retur saja tidak gerak sekali sampai barang rusak ganti ya kakak,negatif
balas ya tidak sambung belum kirim mau tanya dulu bisa tidak kirim baterai pakai sicepat ekspedisi lain tolak pas,negatif
balik lagi sicepat ah jnt banyak masalah,negatif
balik sudah anteraja lambat parah,negatif
bandung kalijati sudah eropa lebih jam serius,negatif
bandung purwakarta tanggal tidak sampai ajak libur dulu surabaya baik banget ya anteraja libur gratis,negatif
bang kargo lama banget ya diam saja sudah hari bandung indramayu reguler tidak bisa shopee nya,negatif
bang paket resi ambil sudah ambil lihat tokopedia tolong ya,negatif
banget kardus sih tidak masalah pakai kotak jelek sekali penyok malas sih tidak balas hubung kemas mahal barang banyak inisiatif pakai grab express begitu eh tidak balas ya allah emosi sekali,negatif
banget kemarin beli barang pakai jnt pakai jne lebih dulu pakai jnt kirim lebih cepat hari sampai nya pakai jnt pakai jne hari doang sudah jnt bagus jakarta doang,negatif
banget kemarin kak pakai jne akhir barang ku retur pusat nya alamat tidak temu lucu banget shopee otomatis sudah kena retur tidak bisa kirim alamat ku,negatif
banget terima kasih sicepat gabut main twitter pesan banyak,negatif
bangsat memang sudah tidak enak sicepat tidak cepat sekali benar barang sampai pecah tidak sisa,negatif
banyak bicara barang kamis tidak gerak,negatif
banyak bicara sudah kali komplain tanya resi melulu,negatif
banyak butuh bantu tanya belum balas balas,negatif
banyak masalah nya jne barang tumpuk hari tidak kirim sudah malang hancur tidak solusi ya tidak langgan percaya,negatif
barang bagus pas sampai langgan rusak parah sudah,negatif
barang banyak macet hilang,negatif
barang baru hilang kat jnt kota sila bertanggungjawab,negatif
barang bawa sopir tanggal sampai belum sampai tidak terang gagal begitu bawa sopir saja ya paket bawa inap sopir hari,negatif
barang beli malam sangkut jnt express lambat barang sampai pakai shopee express lembab,negatif
barang belum ambil paket sudah tidak solusi sicepat kurang bagus daerah lebih bagus kirim lain resi sudah lambat ambil,negatif
barang belum sampai kontak layan langgan jawab sop tidak solusional kali mau ambil langsung layan langgan bilang tidak tahu alamat cabang tolong ulas sop sistem tolong ulas,negatif
barang belum sampai rumah rumah tidak kosong tolong bantu cek,negatif
barang belum sampai sampai yogyakarta barat lewat estimasi hari kurir sesat makan basi tindak sicepat ya,negatif
barang butuh lama datang tidak jnt id express shopee express lama,negatif
barang hilang jne bukti lengkap,negatif
barang hilang jne tidak mau tanggung jawab mau ganti harga ongkos kirim harga barang harga ongkos kirim,negatif
barang jakarta barat jakarta selatan putar sudah jakarta pusat jakarta utara jakarta timur jakarta barat jakarta selatan,negatif
barang kirim tanggal mei gerak hai,negatif
barang ku sudah hari tidak gerak pakai anteraja kirim jabodetabek,negatif
barang macet hari selasa,negatif
barang macet melulu tidak gerak butuh buat besok loh astaga tidak sanggup kirim sesuai estimasi lebih baik paket ekspedisi lain saja deh bayar ongkos sumpah astaga kesal banget,negatif
barang mana,negatif
barang rusak kirim pakai trucking bisa tidak sih,negatif
barang sampai indonesia sudah tanggal diam saja gudang jne jakarta sampai tidak deh layan loh buruk sekali,negatif
barang sudah bulan tidak kirim suruh tunggu eh suruh klaim barang hilang,negatif
barang sudah hari belum sampai ya status paket sudah semarang jnt express buruk sekali,negatif
barang sudah lama banget belum sampai tuju,negatif
barang tidak ambil sudah hari tidak jelas status,negatif
barang tidak baru tidak antar kah,negatif
barang tidak bisa resi jne tidak sah nomor pesan tidak sah whatsapp jawab bot tidak angkat tidak jawab,negatif
barang tidak gerak nomor tolong bantu administrator terima kasih,negatif
barang tidak sampai sampai nomor tidak bisa tanggung jawab,negatif
baru barang tidak temu alias hilang lucu banget deh tanggal pesan tanggal sep barang nyata hilang,negatif
baru kali alam buruk banget sicepat solo tolong pegawai perhati kapok sekali,negatif
baru kali kecewa kurir layan langgan tidak mau ribet tidak usah kerja,negatif
baru kali kecewa sicepat bisa nya barang mental mana tahu,negatif
baru kali kena masalah pas baru mau jual,negatif
baru kali kesal banget layan jne,negatif
baru kali kesal paket jamin tepat waktu status terima tidak tempat hari rumah kurir tidak hubung sekali batal deh ongkos,negatif
baru kali kesal sekali belanja daring pesan shopee status paket macet tanggal hubung layan langgan tidak hasil telepon shopee sicepat saja suruh tunggu beli barang kirim kurang mana lagi butuh sekali,negatif
baru kali kirim lambat pakai jne hari sudah sampai,negatif
baru kali kirim reguler bisa sampai hari kemarin kirim ya hari sampai memang benar ya sicepat tidak jelas sekali tidak cepat pilih lain pilih lain sudah,negatif
baru kali pakai grab express kurir marah marah salah marah marah,negatif
baru kali pakai sicepat paket sudah sobek ambil langsung kantor sampai rumah benar kurang bajing,negatif
baru kali payah banget kurir paket kirim tidak tahu tolong lacak jam sore terima orang tidak tahu resi,negatif
baru pakai sicepat orang orang bilang memang cepat gilir ya allah kirim nya pakai sicepat sampai baru,negatif
baru pertama kali pakai kurir anteraja tidak jelas anjing paket melulu,negatif
baru pertama kali pakai ninja express tidak ninja cepat,negatif
basi sudah hari sudah hapus anteraja toko,negatif
bawa paket sudah tanda mah parah tidak lagi pakai ekspedisi kapok,negatif
bawa tidak antar ajak pelesir,negatif
bayang dulu saja ya barang sudah isi biar tidak kopong bungkus gelembung lapis dus bungkus gelembung lapis rapuh bisa pas terima kerja,negatif
bayar mahal ons tik tidak beda paket sampai belum sampai tidak baru lacak kecewa,negatif
begitu kak paket tidak jelas ada hilang susu bayi kotak sicepat belah mana,negatif
begitu kemarin beli barang pakai sicepat lambat hari waktu,negatif
begitu melulu tidak usaha buat temu paket gara gara harga paket murah ganti uang saja mana sih letak tanggung jawab ekspedisi usaha buat cari saja tidak maaf not maaf ya lebih baik jasa ekspedisi shopee,negatif
begitu ya kurir jne lelah antar rumah saja pesan barang kpop,negatif
bekas bengkulu pakai jne register sudah minggu tidak sampai,negatif
belanja daring kirim saja langgan pesan langsung twitter perihal proses lambat beda benar cepat langit bumi sudah bisa bisa jual pakai jne tidak habis pikir mana sih kasih ulas jne,negatif
belanja daring pilih pakai jne,negatif
belanja daring tidak pakai jne deh,negatif
belanja jam pagi pompa rusak kirim gosend instan ongkos kirim minta ambil toko jam pagi tidak segera kirim tanya layan langgan jawab pola tidak solusi sekali batal tidak bisa,negatif
belanja tidak bisa pilih jasa kirim ya dapat shopee express tidak banget kirim tahan hubung sampai lebih pilih kawan kawan nya akan paksa beli,negatif
beli album memang toko tidak bisa pakai jnt alhasil paksa pakai jne rusak sudah pakai bungkus gelembung dosa,negatif
beli barang kirim hari sabtu tanggal april pakai jne baru akhir pagi sampai tidak baru lagi bisa bantu,negatif
beli barang mana rimba konfirmasi toko sudah kirim jne sudah sampai alamat tanya belum sampai,negatif
beli barang pakai salah pilih kurir lagi sicepat saja sudah lebaran tahun depan sampai,negatif
beli paket satu pakai jnt satu shopee express standar jnt sudah sampai bal siang shopee express surabaya lebih lebih dulu pakai shopee express kirim pulau jawa omong omong bal,negatif
beli shopee antar sicepat pas buka alias rusak sudah bungkus gelembung segel rapuh,negatif
beli situs nya kak lacak situs tik sudah terima kurir whatsapp paket sudah terima anak anak mana sih bosan total banget,negatif
belum ambil ya lebih lebih dulu lebih dulu ambil kurir belah,negatif
belum baru sampai macet,negatif
belum batas sosial skala besar saja kirim barang pakai tik solo surabaya pakai ons besok sampai sudah molor hari pakai reguler bisa molor hari,negatif
belum proses parah ya jne sudah hari,negatif
belum tanggap sampai sudah senggol,negatif
benar benar kapok pakai anteraja,negatif
benar benar kesal laku ekspedisi tanggal sampai hari lacak resi jakarta tanya layan langgan jawab harap sabar doang pas resi cek lagi siang tanggal paket jne depok tidak antar,negatif
benar brengsek,negatif
benar deh sicepat halu lama benar saja sampai minggu,negatif
benar jne bobrok paket tidak jelas terima barang dagang juta raib lalai kurir jne,negatif
benar kakak pertama kali kecewa banget waktu pakai jne sudah laminating kardus rusak kali kirim komisi tidak rusak sampai lintas pulau parah pos kolaborasi lipat sudah lapis buku proposal,negatif
benar lama sekali kirim sampai salip pesan lain jarak lebih jauh,negatif
benar paket buku basah waktu sudah lambat rusak,negatif
benar saja jakarta utara bogor sudah hari sendiri tidak gerak lacak,negatif
benar sesal pakai anteraja mau co kurir anteraja lebih baik tidak,negatif
benar sicepat sih kemarin loh paket sampai beli rusak,negatif
benar sumpah sicepat lama banget,negatif
benar tidak akhlak,negatif
benar tidak mau pakai jasa sudah terlalu banget tidak terang buat masalah selamat tinggal jne mau balik kantor pos saja sudah lebih mahal tidak lebih aman,negatif
benci banget macet kota tuju sampai hari sampai minggu tinggal antar lama banget tokopedia bisa pilih tidak pilih sicepat buat kapok,negatif
benci banget sicepat alias minggu mangkrak,negatif
benci banget tik ekspedisi pegawai malas tidak lagi deh pakai maaf daftar hitam,negatif
benci betul jual guna shopee express barang kirim jnt sudah sampai tidak muncul lagi banyak kali malam whatsapp tunda esok pagi sistem sudah kirim,negatif
benci kurir sicepat teriak totalitas banget,negatif
benci sekali jne gudang kota tuju sampai hari datang saja anjing kirim,negatif
benci sekali jne ih sumpah tidak pakai jne tidak otomatis toko jne,negatif
beras kubur alas rusak bukti beras rusak mana dokumentasi beras rusak mana berita acara kubur beras mana jangan klarifikasi doang,negatif
besok nonaktif anteraja deh khawatir,negatif
betul aduh stres sekali anteraja aduh alam buruk sekali,negatif
betul kecewa marah jne hai sabar batas barang hari belum sampai ambon hari sebut administrator respons sekali tidak balas pesan langsung,negatif
biadab paket tahan bulan tahu pakai ekspedisi sampah,negatif
biar sicepat cepat respons si anjing,negatif
biasa jne salah alamat tidak mau konfirmasi telepon nomor tera jelas tidak cari ya sudah adem ayem,negatif
biasa kurir malas ambil paket belum jemput,negatif
bicara sisi layan langgan memang benah baik sisi jual beli rasa lambat sisi pribadi ekspedisi memang jne pilih akhir lain ya tidak,negatif
bingung sicepat situ loh astaga tidak kirim alamat lengkap nomor nama lain lain kesal waktu beli kasihan beli mana rumah jauh lagi tidak kesal,negatif
